Category,Name,Lat,Lon,Address,MapsURL,Status
University,Policejní akademie,50.017475,14.4298558,,"https://www.google.com/maps/search/50.017475,14.4298558",
Student Dormitory,Dejvická kolej,50.101816,14.388302,,"https://www.google.com/maps/search/50.101816,14.388302",
Student Dormitory,Kolej V. Sinkule,50.1014795,14.3899316,,"https://www.google.com/maps/search/50.1014795,14.3899316",
Shopping Center,Obchodní centrum Lužiny,50.0438099,14.3318597,"Archeologická, 2256/1, Praha","https://www.google.com/maps/search/50.0438099,14.3318597",
Shopping Center,Šestka,50.0933174,14.2909686,"Fajtlova, 1090/1","https://www.google.com/maps/search/50.0933174,14.2909686",
Student Dormitory,Bubenečská kolej,50.1053889,14.3977135,,"https://www.google.com/maps/search/50.1053889,14.3977135",
University,Metropolitan University of Prague,50.0689599,14.4982327,"Dubečská, 900/10, Praha 10 - Strašnice","https://www.google.com/maps/search/50.0689599,14.4982327",
Student Dormitory,Thalerova kolej,50.0913712,14.4833306,,"https://www.google.com/maps/search/50.0913712,14.4833306",
University,Pedagogická fakulta,50.0776618,14.4156785,,"https://www.google.com/maps/search/50.0776618,14.4156785",
Student Dormitory,kolej Jednota,50.086531,14.4357488,,"https://www.google.com/maps/search/50.086531,14.4357488",
Shopping Center,Atrium,50.0754082,14.4184443,,"https://www.google.com/maps/search/50.0754082,14.4184443",
Shopping Center,Černá růže,50.0848089,14.4257196,,"https://www.google.com/maps/search/50.0848089,14.4257196",
Student Dormitory,Hlávkova kolej,50.0753297,14.4161864,,"https://www.google.com/maps/search/50.0753297,14.4161864",
University,University of New York in Prague,50.0734896,14.4339667,"Londýnská, 41","https://www.google.com/maps/search/50.0734896,14.4339667",
Shopping Center,VIVO!,50.0531516,14.5174757,,"https://www.google.com/maps/search/50.0531516,14.5174757",
Student Dormitory,Kolej Kajetánka 1,50.0875051,14.3710671,,"https://www.google.com/maps/search/50.0875051,14.3710671",
University,Katedra botaniky a Ústav pro životní prostředí,50.0713609,14.4210745,"Benátská, 433/2","https://www.google.com/maps/search/50.0713609,14.4210745",
University,"Fakulta dopravní, Masarykův ústav vyšších studií ČVUT",50.0671248,14.4242483,,"https://www.google.com/maps/search/50.0671248,14.4242483",
University,Fakulta dopravní ČVUT,50.0833766,14.416813,,"https://www.google.com/maps/search/50.0833766,14.416813",
University,Univerzita Karlova v Praze – 3. lékařská fakulta,50.0742665,14.4738938,,"https://www.google.com/maps/search/50.0742665,14.4738938",
Student Dormitory,Kolej Vltava,50.0196348,14.4958191,"Ekonomická, 953","https://www.google.com/maps/search/50.0196348,14.4958191",
Student Dormitory,Kolej Sázava,50.0203743,14.4947795,,"https://www.google.com/maps/search/50.0203743,14.4947795",
